Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.11636E-4,60.030972309,0.79412998,0.091787884,0.649193548,0
3.12777E-4,60.280725902,0.795317765,0.091051372,0.649193548,0
3.13628E-4,60.531292259,0.796198847,0.090314859,0.652217742,0
3.14774E-4,60.751327497,0.797380277,0.089670411,0.654233871,0
3.15553E-4,61.00348768,0.798179134,0.088933898,0.660282258,0
3.16931E-4,61.256607719,0.799584765,0.088197385,0.662298387,0
3.17438E-4,61.510393212,0.80009966,0.087460873,0.66733871,0
3.18386E-4,61.764844324,0.801058306,0.08672436,0.670362903,0
3.19161E-4,62.019870618,0.801838561,0.085987848,0.673387097,0
3.20789E-4,62.275917428,0.803467485,0.085251335,0.677419355,0
3.22395E-4,62.501138428,0.805061677,0.084606886,0.681451613,0
3.23704E-4,62.759498742,0.806352062,0.083870374,0.684475806,0
3.24811E-4,63.018791477,0.807435913,0.083133861,0.685483871,0
3.26715E-4,63.279497585,0.80928627,0.082397349,0.685483871,0
3.28174E-4,63.508785264,0.810692456,0.0817529,0.6875,0
3.28777E-4,63.771587225,0.811270536,0.081016387,0.691532258,0
3.29523E-4,64.00207162,0.81198373,0.080371939,0.694556452,0
3.31679E-4,64.26673826,0.814027863,0.079635426,0.69858871,0
3.32407E-4,64.532462088,0.814713325,0.078898914,0.700604839,0
3.34102E-4,64.766005287,0.816299616,0.078254465,0.701612903,0
3.34683E-4,65.00016488,0.816840281,0.077610017,0.702620968,0
3.35555E-4,65.268301115,0.817648039,0.076873504,0.703629032,0
3.36595E-4,65.503698036,0.818607317,0.076229055,0.706653226,0
3.37416E-4,65.773218091,0.819361106,0.075492543,0.70766129,0
3.38729E-4,66.009764926,0.82055966,0.074848094,0.709677419,0
3.39672E-4,66.281161321,0.821415766,0.074111582,0.712701613,0
3.40606E-4,66.519302041,0.82225979,0.073467133,0.713709677,0
3.41442E-4,66.75807269,0.823011816,0.072822685,0.716733871,0
3.42215E-4,67.031753584,0.823704886,0.072086172,0.71875,0
3.42881E-4,67.271554351,0.824298984,0.071441723,0.720766129,0
3.43528E-4,67.54620011,0.824874503,0.070705211,0.725806452,0
3.44523E-4,67.752642107,0.825755814,0.070152826,0.725806452,0
3.45824E-4,68.028769816,0.826902063,0.069416314,0.727822581,0
3.46961E-4,68.271226898,0.827897605,0.068771865,0.730846774,0
3.48115E-4,68.514697514,0.828901463,0.068127417,0.732862903,0
3.49378E-4,68.758804711,0.829994544,0.067482968,0.734879032,0
3.50318E-4,69.003812249,0.83080293,0.06683852,0.73891129,0
3.52175E-4,69.284977644,0.832388539,0.066102007,0.742943548,0
3.52987E-4,69.531884431,0.833077953,0.065457558,0.744959677,0
3.54322E-4,69.779548466,0.834203728,0.06481311,0.745967742,0
3.55312E-4,70.02791728,0.835034466,0.064168661,0.747983871,0
3.56876E-4,70.277266445,0.836337608,0.063524213,0.75,0
3.57702E-4,70.527480516,0.837021654,0.062879764,0.751008065,0
3.58312E-4,70.778134733,0.83752524,0.062235316,0.753024194,0
3.59178E-4,71.029354829,0.838237006,0.061590867,0.755040323,0
3.60092E-4,71.281152027,0.838985682,0.060946419,0.758064516,0
3.60714E-4,71.533519906,0.839492118,0.06030197,0.759072581,0
3.61512E-4,71.750220907,0.840141164,0.059749586,0.760080645,0
3.63106E-4,72.004135148,0.841427815,0.059105137,0.764112903,0
3.64684E-4,72.258807781,0.842691886,0.058460689,0.765120968,0
3.65308E-4,72.514371814,0.843189061,0.05781624,0.767137097,0
3.66119E-4,72.77039295,0.843832458,0.057171792,0.768145161,0
3.67462E-4,73.027256714,0.844892891,0.056527343,0.768145161,0
3.67947E-4,73.284695015,0.8452735,0.055882894,0.769153226,0
3.6848E-4,73.505686222,0.845691792,0.05533051,0.77016129,0
3.6967E-4,73.76415083,0.846620154,0.054686061,0.774193548,0
3.70224E-4,74.02313456,0.847050006,0.054041613,0.776209677,0
3.70671E-4,74.282433503,0.847396979,0.053397164,0.777217742,0
3.71688E-4,74.505147624,0.848182069,0.05284478,0.78125,0
3.72176E-4,74.765498034,0.848556777,0.052200331,0.783266129,0
3.72803E-4,75.026232043,0.84903756,0.051555883,0.785282258,0
3.73727E-4,75.25023421,0.849743797,0.051003498,0.787298387,0
