RSPB,County,Species,Mean 2021,Rank 2021,% Gardens 2021,,Mean 2020,Rank 2020,% Gardens 2020,,% Change,Rank Change,% change in % gardens recorded,
NIRO,Antrim,Linnet,0.001,49,0.1,,0.001,48,0.1,,47.9,-1,47.9,
NIRO,Antrim,Willow_tit,0.001,50,0.1,,0.000,79,0.0,,Increase,29,Increase,
NIRO,Antrim,Lesser_black_backed_gull,0.001,51,0.1,,0.000,61,0.0,,Increase,10,Increase,
NIRO,Antrim,Chiffchaff,0.001,52,0.1,,0.003,44,0.3,,-60.6,-8,-60.6,
NIRO,Antrim,Kestrel,0.001,53,0.1,,0.002,46,0.2,,-40.9,-7,-40.9,
NIRO,Antrim,Stock_dove,0.001,54,0.1,,0.000,73,0.0,,Increase,19,Increase,
NIRO,Antrim,Mute_swan,0.001,55,0.1,,0.000,67,0.0,,Increase,12,Increase,
NIRO,Antrim,Reed_bunting,0.001,56,0.0,,0.001,51,0.1,,-40.9,-5,-70.4,
NIRO,Antrim,Barn_owl,0.001,57,0.1,,0.000,52,0.0,,Increase,-5,Increase,
NIRO,Antrim,Black_redstart,0.001,58,0.1,,0.001,49,0.1,,-40.9,-9,-40.9,
NIRO,Antrim,Meadow_pipit,0.001,59,0.1,,0.000,65,0.0,,Increase,6,Increase,
NIRO,Antrim,Great_black_backed_gull,0.000,60,0.0,,0.000,55,0.0,,Increase,-5,Increase,
NIRO,Antrim,Tufted_duck,0.000,61,0.0,,0.000,76,0.0,,Increase,15,Increase,
NIRO,Antrim,Grey_partridge,0.000,62,0.0,,0.000,58,0.0,,Increase,-4,Increase,
NIRO,Antrim,Hawfinch,0.000,63,0.0,,0.000,59,0.0,,Increase,-4,Increase,
NIRO,Antrim,Nuthatch,0.000,64,0.0,,0.000,68,0.0,,Increase,4,Increase,
NIRO,Antrim,Teal,0.000,65,0.0,,0.000,75,0.0,,Increase,10,Increase,
NIRO,Antrim,Brambling,0.000,66,0.0,,0.001,47,0.1,,-100.0,-19,-100.0,
SWSRO,Argyll and Bute,Chaffinch,5.103,1,76.2,,6.737,1,78.4,,-24.3,0,-2.8,
SWSRO,Argyll and Bute,House_sparrow,5.039,2,66.5,,5.311,2,67.2,,-5.1,0,-1.0,
SWSRO,Argyll and Bute,Blue_tit,3.512,3,83.2,,2.874,4,81.2,,22.2,1,2.5,
SWSRO,Argyll and Bute,Blackbird,2.830,4,88.5,,2.612,5,86.6,,8.4,1,2.2,
SWSRO,Argyll and Bute,Robin,2.322,5,95.1,,1.898,7,93.2,,22.3,2,2.0,
