Species,x,y
Hippodamia variegata,0.136289,52.533569
Hippodamia variegata,-1.875554,52.474117
Hippodamia variegata,-1.323881,53.449848
Hippodamia variegata,-0.015817,51.548768
Hippodamia variegata,-1.148602,53.216364
Hippodamia variegata,-1.171573,53.538776
Hippodamia variegata,-2.72111,52.69064
Hippodamia variegata,-1.906375,52.170726
Hippodamia variegata,-0.004802,51.711345
Hippodamia variegata,0.382544,51.62962
Hippodamia variegata,0.809721,51.174966
Hippodamia variegata,-0.302291,52.630581
Hippodamia variegata,0.085569,51.455417
Hippodamia variegata,-2.6200877,53.459753
Hippodamia variegata,1.69045,52.337871
Hippodamia variegata,-1.062011,53.204028
Hippodamia variegata,1.617906,52.26771
Hippodamia variegata,-1.07387,53.209514
Hippodamia variegata,-2.4246,52.777409
Hippodamia variegata,-3.096457,52.786451
Hippodamia variegata,-1.184642,53.211222
Hippodamia variegata,-0.187849,51.819654
Hippodamia variegata,-2.363485,51.743139
Hippodamia variegata,0.233773,51.542617
Hippodamia variegata,-0.584963,50.948359
Hippodamia variegata,-1.063423,53.259457
Hippodamia variegata,0.089675,51.545272
Hippodamia variegata,0.085569,51.455417
Hippodamia variegata,0.944581,50.933289
Hippodamia variegata,0.631644,52.765928
Hippodamia variegata,-1.124681,53.214393
Hippodamia variegata,-1.6458471,53.82283
Hippodamia variegata,-2.650557,51.562072
Hippodamia variegata,-1.330921,53.000438
Hippodamia variegata,0.233773,51.542617
Hippodamia variegata,-1.131505,52.652596
Hippodamia variegata,-0.352462,51.282542
Hippodamia variegata,1.4894458,52.7323499
Hippodamia variegata,-1.634956,52.282578
Hippodamia variegata,1.173332,52.600228
Hippodamia variegata,-1.323881,53.449848
Hippodamia variegata,-0.058267,51.457888
Hippodamia variegata,0.136289,52.533569
Hippodamia variegata,-1.336418,52.640885
Hippodamia variegata,0.136289,52.533569
Hippodamia variegata,0.228956,51.488301
Hippodamia variegata,-0.062071,51.368024
Hippodamia variegata,-2.750564,52.676772
Hippodamia variegata,0.579321,52.305776
Hippodamia variegata,-2.849262,52.884668
Hippodamia variegata,0.119027,52.174211
Hippodamia variegata,-0.921647,51.469007
Hippodamia variegata,0.416109,52.258423
Hippodamia variegata,-0.785359,53.139502
Hippodamia variegata,-1.078214,50.840885
Hippodamia variegata,-0.658875,53.78986
Hippodamia variegata,-0.241831,51.574943
Hippodamia variegata,0.631644,52.765928
Hippodamia variegata,-0.566382,52.688014
Hippodamia variegata,-0.6613311,51.9430066
